Alexander McQueen
red
assess,Efforts to pay a living wage,Social: Criticism,"This company is doing little or nothing to ensure workers are paid enough to live on, according to this 2014 report by the Clean Clothes Campaign which grades companies on their efforts to ensure workers in its supply chain receive a living wage. 
[Source 2014][More on Workers Rights]"
assess,Nanoparticles in cosmetics,Social: lesser criticism,"Testing commissioned by Friends of the Earth Australia found nanoparticles in foundations and concealers sold by Gucci.
[Source 2009][More on Product Safety]"
assess,Use of fur,Animals: Criticism,"Several of this company's brands use fur in their designs including YSL, Gucci and Alexander McQueen.
[Source 2015][More on Animal Rights]"
assess,36/100 in Fashion Transparency Index,Business Ethics: lesser criticism,"The 2016 Fashion Transparency Index looks at how much brands know about their supply chains, what kind of policies they have in place and importantly, how much information they share with the public about their practices and products. This company scored 36%, signifying it makes some efforts to manage and improve their supply chains but make little supply chain information publicly available. This company still has a long way to go towards supply chain transparency.
[Source 2016][More on Sustainability Reporting]"
assess,'D' rating at rankabrand.org,Business Ethics: lesser criticism,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received a 'D'.
[Source 2017][More on Sustainability Reporting]"
assess,Paper policy,Environment: minor praise,"Following a campaign by the Rainforest Action Network in 2009, this company pledged to take concrete action to clean their supply chains of rainforest paper and sever relationships with companies (like Asia Pulp and Paper) who continue to destroy high conservation and endangered forests in Indonesia and elsewhere.
[Source 2010][More on Forests]"
assess,Trust Mark approved brands,Environment: minor praise,"This company owns brands which have been awarded Positive Luxury's Trust Mark. To be accredited brands are assessed in the following areas: philanthropy, environmental, social, innovation, community and governance.
[Source 2015][More on Eco-Certification]"
assess,Sandblasting,Social: minor praise,"This company has publicly banned sandblasting. Sandblasting is a dangerous and deadly process which involves workers firing sand at jeans under high pressure. It has been known to kill workers within months as the inhalation of large amounts of silica dust generated during sandblasting causes silicosis, a potentially lethal pulmonary disease.
[Source 2012][More on Workers Rights]"
assess,SAI member,Social: minor praise,"Social Accountability International (SAI) is a non-profit, multi-stakeholder organisation established to advance the human rights of workers by promoting decent work conditions, labor rights, and corporate social responsibility through the voluntary SA8000 Standard.
[Source 2014][More on Multi-Stakeholder Initiatives]"
assess,Responsible Jewellery Council member,Business Ethics: minor praise,"This company's Gucci and Bottega Veneta subsidiaries are certified members of the Responsible Jewellery Council (RJC).  Certification under the RJC system demonstrates that the Member's business practices conform to RJC's Code of Practices for business ethics, human rights, social and environmental performance.
[Source 2013][More on Multi-Stakeholder Initiatives]"
assess,SB 657 disclosure statement,Social: information,"The California Transparency in Supply Chains Act of 2010 (SB 657) requires companies operating in California to disclose their efforts to eradicate slavery and human trafficking from their direct supply chains. Follow the link to see this company's disclosure statement.
[Source 2012][More on Workers Rights]"
assess,Skin Deep profile,Social: information,"Skin Deep is an online safety guide to cosmetics and personal care products and their potential hazards and health concerns, with over 69,000 products rated from 1 (low hazard) to 10 (high hazard).
[Source 2016][More on Product Safety]"
assess,Cotton sourcing (As You Sow),Social: Praise,"Responsible Sourcing Network's 2014 report Cotton Sourcing Snapshot: A Survey of Corporate Practices to End Forced Labor includes survey results and ratings of 49 companies reflecting actions they are taking to stop cotton from Uzbekistan picked with forced labor from entering their supply chains. The survey offered a maximum of 100 points across 11 indicators in the categories of Policy, Public Disclosure, Engagement, and Implementation & Auditing. Only five companies scored over 50 points, 19 companies (including this company) scored under 25 points, and two companies scored zero. *UPDATE* This company improved its score to over 50 in 2015.
[Source 2015][More on Human Rights]"
assess,RobecoSAM Industry Leader 2016,Business Ethics: Praise,"This company was awarded the 'Industry Leader' in the 'Textiles, Apparel & Luxury Goods' category of the 2016 RobecoSAM  Sustainability Yearbook. The index is based on an analysis of corporate economic, environmental and social performance, assessing issues such as corporate governance, risk management, branding, climate change mitigation, supply chain standards and labor practices.
[Source 2016][More on Sustainability Reporting]"
assess,Commitment to zero deforestation 4/5,Environment: lesser praise ,"The Forest 500 identifies, ranks, and tracks the governments, companies and financial institutions worldwide that together could virtually eradicate tropical deforestation. Rankings are based on their public policies and commitments and potential impacts on tropical forests in the context of forest risk commodities (palm oil, soya, beef, leather, timber, and pulp and paper). This company received a score of 4/5.
[Source 2016][More on Forests]"
assess,Uzbek cotton commitment,Social: lesser praise ,"This company has signed the Cotton Pledge with the Responsible Sourcing Network, signifying a public commitment to not use Uzbekistani cotton. (Uzbekistan is the world's fifth largest exporter of cotton and has for decades been criticised for using the forced labour of its schoolchildren to harvest that cotton by hand under appalling conditions. This practice is organised and controlled by the central government).
[Source 2016][More on Human Rights]"
assess,Global 100,Business Ethics: lesser praise ,"The Global 100 Most Sustainable Corporations in the World list is an extensive data-driven corporate sustainability assessment. The ranked companies are leaders in the field of a sustainable business approach. The efficiency of a company's energy, water, CO2 and waste management is measured in relation to its total sales volume. The disclosure of that information is a pre-condition for the assessment. This company ranked #43 in the 2016 Global 100.
[Source 2016][More on Sustainability Reporting]"
assess,62.0% in Newsweek Green Rankings 2015,Business Ethics: lesser praise ,"This company received a score of 62/100 in the Newsweek Green Rankings 2015, which ranks the world's largest publicly traded companies on eight indicators covering energy, greenhouse gases, water, waste, fines and penalties, linking executive pay to sustainability targets, board-level committee oversight of environmental issues and third-party audits. Ranking methodology by Corporate Knights and HIP Investor.
[Source 2015][More on Sustainability Reporting]"
assess,Cotton sourcing (Rank a Brand),Social: lesser criticism,"In 2016 Rank a Brand assessed 37 major cotton-using companies on their commitment and performance with regard to sustainable cotton by looking at each company's cotton sourcing policies, use of sustainable cotton, and traceability. This company scored 3/19.5, making it one of the weaker performing companies.
[Source 2016][More on Human Rights]"
assess,27/100 in KnowTheChain Benchmark,Social: lesser criticism,"In 2016 KnowTheChain benchmarked 60 large global companies in the ICT, Food & Beverage, and Apparel & Footwear sectors on their efforts to address forced labour and human trafficking in their supply chains. This company received a score of 27/100.
[Source 2016][More on Workers Rights]"
assess,Human Rights Benchmark,Social: lesser criticism,"The 2017 Corporate Human Rights Benchmark assessed 98 of the largest publicly traded companies in the world from the Agricultural Products, Apparel and Extractives sectors on 100 human rights indicators. This company's score was in the 20-29 band range.  The overall average score was 28.7%.
[Source 2017][More on Human Rights]"
assess,Hunting equipment sales,Animals: minor criticism,"Kering subsidiary Redcats owns The Sportsman's Guide, an online store which sells hunting equipment including guns.
[Source 2012][More on Animal Rights]"
assess,'D' grade  in WWF Deeper Luxury report,Business Ethics: minor criticism,"In 2007 WWF-UK analysed and ranked the 10 largest publicly-traded luxury brand-owners on their environmental, social and governance (ESG) performance. (Listed under information due to age of report)
[Source 2007][More on Governance]"
assess,Zero discharge of hazardous chemicals ,Environment: minor praise,"In 2011, a group of major apparel and footwear brands and retailers, including this company, made a shared commitment to help lead the industry towards zero discharge of hazardous chemicals by 2020. It includes specific commitments and timelines to realize this shared goal.
[Source 2017][More on Habitats]"
assess,Climate action commitments,Environment: minor praise,"As listed on the We Mean Business website, this company has committed to the following climate action initiatives: adopt a science-based emissions reduction target; responsible corporate engagement in climate policy; report climate change information in mainstream reports as a fiduciary duty; remove commodity-driven deforestation from all supply chains by 2020.
[Source 2017][More on Climate Change]"
assess,Sustainable Apparel Coalition member,Business Ethics: minor praise,"This company is a member of the Sustainable Apparel Coalition, a multi-stakeholder initiative launched in March 2011 by a group of global apparel and footwear companies and non-profit organizations (representing nearly one third of the global market share for apparel and footwear). The Coalition's goals are to reduce the apparel industry's environmental and social impact, and to develop a universal index to measure environmental and social performance of apparel products. 
[Source 2015][More on Multi-Stakeholder Initiatives]"
assess,Leather Working Group member,Business Ethics: minor praise,"This company is a member of the Leather Working Group, a multi-stakeholder group who's objective is to develop and maintain a protocol that assesses the compliance and environmental performance of tanners and promotes sustainable and appropriate environmental business practices within the leather industry.
[Source 2016][More on Multi-Stakeholder Initiatives]"
assess,Ethical Consumer profile,Information,"This online article about PPR is from Ethical Consumer Magazine (UK), Issue 111, March/April 2008. Criticisms include use of fur and exotic leathers, and labour rights abuses.
[Source 2008]"
product,Alexander McQueen,Luxury Brands
product,McQ,Womens Fashion
