David Jones
yellow
assess,Australian Packaging Covenant signatory,Environment: lesser praise ,"Signatory to the Australian Packaging Covenant, a voluntary agreement to encourage waste minimisation.
[Source 2017][More on Packaging]"
assess,B+ grade at Behind the Barcode,Social: lesser praise ,"B+ grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,Efforts to pay a living wage,Social: lesser criticism,"Oxfam Australia's Company Tracker compares the big clothing brands on their efforts to pay a living wage to the women working in their factories. This company has not published a list of its supplier factories or made a public commitment to paying living wages.
[Source 2017][More on Workers Rights]"
assess,Fur free,Animals: minor praise,"This company has formally undertaken not to use or sell real fur.
[Source 2014][More on Animal Rights]"
assess,Angora ban,Animals: minor praise,"This company has taken angora items off the shelves and promised not to use angora again, following a PETA campaign launched in Dec 2013 which revealed the cruelty inflicted on angora rabbits in Chinese factory farms, where 90% of the world's angora is produced.
[Source 2014][More on Animal Rights]"
assess,Community & environment claims,Business Ethics: minor praise,"This company has a number of community & environment claims on its website. Environmental claims include reducing greenhouse gas emissions, protecting and conserving natural resources, and optimising water use. The company also supports the National Breast Cancer Foundation.
[Source 2015][More on Sustainability Reporting]"
assess,Code of conduct,Business Ethics: minor praise,"This company has a publicly available Code of Conduct and Ethical Sourcing Policy on its website.
[Source 2015][More on Sustainability Reporting]"
assess,Supply chain sourcing,Social: information,"This 2013 report by The Australian Council of Superannuation Investors (ACSI) investigates the labour and human rights risks in supply chain sourcing. This company is identified on page 21 as a company which sources products from countries with known systemic labour and human rights concerns. However since this report was published David Jones has changed ownership and is reportedly improving its supply chain sourcing.
[Source 2013][More on Human Rights]"
assess,No tax paid in 2013/4,Business Ethics: information,"According to data released by the Australian Tax Office in Dec 2015, this company was one of 579 local and foreign-based companies that paid no tax in Australia in 2013-14. Please note however that companies pay income tax on profits, not revenue (total income). While some companies use tax havens and loopholes to avoid paying their fair share of tax in Australia, other companies that paid no tax have perfectly legitimate reasons.
[Source 2015][More on Finance]"
assess,Uzbek cotton commitment,Social: lesser praise ,"This company has signed the Cotton Pledge with the Responsible Sourcing Network, signifying a public commitment to not use Uzbekistani cotton. (Uzbekistan is the world's fifth largest exporter of cotton and has for decades been criticised for using the forced labour of its schoolchildren to harvest that cotton by hand under appalling conditions. This practice is organised and controlled by the central government).
[Source 2016][More on Human Rights]"
assess,Responsible Retailer Award,Business Ethics: lesser praise ,"In 2012 Woolworths Holdings won the International Responsible Retailer of the Year Award at the World Retail Congress for the third time in five years. Improved indicators include carbon footprint, water and packaging reduction, sustainable clothing and food products.
[Source 2012][More on Governance]"
assess,Controversies,Social: minor criticism,"Wikipedia lists a number of controversies for this company: In October 2010, Woolworths came under fire as they opted to remove Christian magazines from their shelves and discontinue their sale; In 2012 the South African Advertising Standards Authority ruled that Woolworths' vintage cold drink range was an imitation of a rival soft drinks range; In September 2012 Woolworths was accused of racism by some groups for allegedly discriminating against white job applicants and staff; In October 2013 rumours of plagiarism surfaced when Euodia Roets, a South African artist, accused Woolworths of using her designs that were kept as sample after contract negations which failed.
[Source 2015][More on Human Rights]"
assess,Partnership with WWF in South Africa,Environment: minor praise,"In Nov 2012 the World Wide Fund for Nature South Africa (WWF-SA) and Woolworths announced a broad-based, multifaceted partnership to drive greater sustainability through selected Woolworths products and operations. The three year partnership ""recognises the growing congruence between WWF-SA and Woolworths interests in, among others: the conservation of energy; freshwater ecosystems; the promotion of sustainable agricultural practices; and the protection of fish stocks.""
[Source 2012][More on Forests]"
assess,Climate action commitments,Environment: minor praise,"As listed on the We Mean Business website, this company has committed to the following climate action initiatives: adopt a science-based emissions reduction target; report climate change information in mainstream reports as a fiduciary duty; remove commodity-driven deforestation from all supply chains by 2020; improve water security.
[Source 2017][More on Climate Change]"
assess,Good Egg Award 2014 (South Africa),Animals: minor praise,"Compassion in World Farming is a UK-based organisation which works with the European food industry to encourage and reward commitment, transparency, performance and innovation in the field of animal welfare. This company won their Good Egg Award in 2014 for their work with free-range eggs.
[Source 2014][More on Animal Rights]"
assess,Better Cotton Initiative member,Business Ethics: minor praise,"This company is a member of the Better Cotton Initiative, a voluntary program which encourages the adoption of better management practices in cotton cultivation to achieve measurable reductions in key environmental impacts, while improving social and economic benefits for cotton farmers, small and large, worldwide.
[Source 2016][More on Multi-Stakeholder Initiatives]"
