Fruit of the Loom
red
assess,Child labour scorecard,Social: lesser praise ,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received at least one green mark, and no red marks, indicating good performance in one or more of these areas.
[Source 2013][More on Human Rights]"
assess,Bangladesh Safety Accord signatory,Social: lesser praise ,"This company has signed the 'Accord on Fire and Building Safety in Bangladesh', a program endorsed by Bangladeshi and international unions and labor rights organizations. The ground-breaking program includes independent safety inspections with public reports, mandatory factory building renovations, the obligation by brands and retailers to underwrite the cost of repairs, and a vital role for workers and their unions  all in a legally-binding, enforceable agreement.
[Source 2014][More on Human Rights]"
assess,FLA Accredited,Social: lesser praise ,"When joining the Fair Labor Association (FLA) this company committed to promoting and complying with international labor standards throughout their supply chain. The FLA does not accredit the company itself; rather, they accredit the company's labor compliance program. Being granted accreditation implies that their workplace standards program is substantially in compliance with the FLA Code.
[Source 2016][More on Workers Rights]"
assess,Uzbek cotton commitment,Social: lesser praise ,"This company has signed the Cotton Pledge with the Responsible Sourcing Network, signifying a public commitment to not use Uzbekistani cotton. (Uzbekistan is the world's fifth largest exporter of cotton and has for decades been criticised for using the forced labour of its schoolchildren to harvest that cotton by hand under appalling conditions. This practice is organised and controlled by the central government).
[Source 2016][More on Human Rights]"
assess,B- grade at Behind the Barcode,Social: lesser praise ,"B- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,Sweatshops in Jordan,Social: minor criticism,"This 2010 investigative report by the Institute for Global Labour & Human Rights reveals systematic gross violations of human and worker rights in Jordanian sweatshops operated by Classic Fashion Apparel. Wal-Mart, Hanesbrands, Macy's, Russell, and Fruit of the Loom are among their customers. [Listed under Information due to age of report]
[Source 2010][More on Workers Rights]"
assess,Alliance for Bangladesh Worker Safety member,Business Ethics: minor praise,"This company is a member of the Alliance for Bangladesh Worker Safety, a legally binding, five-year commitment to improve safety in Bangladeshi ready-made garment factories. The Alliance aims to improve worker safety in the Bangladesh garment industry by upgrading factories, educating workers and management, empowering workers, and building institutions that can enforce and maintain safe working conditions throughout Bangladesh. However it lacks an important enforcement mechanism included in the Accord on Fire and Building Safety in Bangladesh, and unlike the Accord, the Alliance has not received the endorsement of the ILO.
[Source 2016][More on Multi-Stakeholder Initiatives]"
assess,SB 657 disclosure statement,Social: information,"The California Transparency in Supply Chains Act of 2010 (SB 657) requires companies operating in California to disclose their efforts to eradicate slavery and human trafficking from their direct supply chains. KnowTheChain.org has examined this company's disclosure statement and concluded that it addresses the majority of SB 657 requirements. Follow the link to see this company's disclosure statement.
[Source 2014][More on Workers Rights]"
assess,Cotton sourcing (As You Sow),Social: information,"Responsible Sourcing Network's 2014 report Cotton Sourcing Snapshot: A Survey of Corporate Practices to End Forced Labor includes survey results and ratings of 49 companies reflecting actions they are taking to stop cotton from Uzbekistan picked with forced labor from entering their supply chains. The survey offered a maximum of 100 points across 11 indicators in the categories of Policy, Public Disclosure, Engagement, and Implementation & Auditing. Only five companies scored over 50 points, 19 companies scored under 25 points, and two companies scored zero. This company received a score of 44.
[Source 2014][More on Human Rights]"
assess,'C' rating at rankabrand.org,Business Ethics: information,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received a 'C'.
[Source 2014][More on Sustainability Reporting]"
assess,Commitment to zero deforestation 0/5,Environment: Criticism,"The Forest 500 identifies, ranks, and tracks the governments, companies and financial institutions worldwide that together could virtually eradicate tropical deforestation. Rankings are based on their public policies and commitments and potential impacts on tropical forests in the context of forest risk commodities (palm oil, soya, beef, leather, timber, and pulp and paper). This financial institution received a score of 0/5.
[Source 2016][More on Forests]"
assess,Zero score on Corporate Equality Index,Social: Criticism,"This company is listed as having worst practice on a report card on lesbian, gay, bisexual and transgender equality in corporate America.
[Source 2014][More on Workers Rights]"
assess,Conflict minerals rating,Social: Criticism,"As You Sow's 2017 report, Mining the Disclosures, is a deep analysis of 206 companies' human rights performance in relation to sourcing conflict minerals from the Democratic Republic of the Congo (DRC). This company's score was below 40% (Weak).
[Source 2017][More on Human Rights]"
assess,0.0% in Newsweek Green Ranking 2017,Business Ethics: Criticism,"This company received a score of 0/100 in the Newsweek Green Ranking 2017, which ranks the world's largest publicly traded companies on eight indicators covering energy, greenhouse gases, water, waste, fines and penalties, linking executive pay to sustainability targets, board-level committee oversight of environmental issues and third-party audits. Ranking methodology by Corporate Knights and HIP Investor.
[Source 2017][More on Sustainability Reporting]"
assess,Human Rights,Social: minor criticism,"This 2009 report by the International Labor Rights Forum outlines several areas in which Berkshire Hathaway faces significant environmental, labor rights and human rights issues. [Listed under information due to age of report]
[Source 2009][More on Human Rights]"
assess,OpenSecrets.org profile,Information,"OpenSecrets.org tracks the influence of money on U.S. politics, and how that money affects policy and citizens' lives. Follow link to see this company's record of political donations, lobbying, outside spending and more.
[Source 2014]"
product,Fruit of the Loom,Menswear (casual)
product,Fruit of the Loom,Womens Fashion
product,Fruit of the Loom,Childrenswear
product,Vanity Fair,Intimate Apparel
