Giorgio Armani
red
assess,Supply chain practices in China,Environment: Criticism,"This company received a score of 2.5/100 (retrieved 14-Feb-2018) in the Corporate Information Transparency Index (CITI), a system for evaluating supply chain practices in China, particularly in regards to environmental management and water pollution. Scores are calculated using government compliance data, online monitoring data, and third-party environmental audits, as well as trends in the environmental performance of factories in the company's supply chains.
[Source 2018][More on Habitats]"
assess,'E' rating at rankabrand.org,Business Ethics: Criticism,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received an 'E', the lowest possible score.
[Source 2017][More on Sustainability Reporting]"
assess,Child labour scorecard,Social: lesser criticism,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received at least one red mark, indicating poor performance in one or more of these areas.
[Source 2013][More on Human Rights]"
assess,Workers rights in China,Social: lesser criticism,"A 2014 report by China Labour Watch found poor working conditions in a Chinese factory that mainly manufactures cosmetic brushes for multinational beauty companies, including this one. Labor abuses include excessive overtime and poor worker safety measures. Also, the factory has not purchased social insurance for workers as required by law. Hundreds of workers went on strike in Jan 2014 after a female team leader was slapped by a male manager. 
[Source 2015][More on Workers Rights]"
assess,No Detox commitment,Environment: minor criticism,"Greenpeace launched their Detox Campaign in 2011 to expose the direct links between global clothing brands, their suppliers and toxic water pollution around the world. As a result, many companies have joined Greenpeace's Detox Program, which requires companies to adopt a credible, individual and public commitment to phase out the use and release of all toxic chemicals from their global supply chain and products, by 1 January 2020. This company is yet to make a commitment despite pressure from Greenpeace.
[Source 2016][More on Habitats]"
assess,Efforts to pay a living wage,Social: minor criticism,"This company declined to respond to a survey by the Clean Clothes Campaign for their 2014 report, 'Tailored Wage', which grades companies on their efforts to ensure workers in its supply chain receive a living wage. 
[Source 2014][More on Workers Rights]"
assess,Sandblasting,Social: minor praise,"This company has publicly banned sandblasting. Sandblasting is a dangerous and deadly process which involves workers firing sand at jeans under high pressure. It has been known to kill workers within months as the inhalation of large amounts of silica dust generated during sandblasting causes silicosis, a potentially lethal pulmonary disease.
[Source 2012][More on Workers Rights]"
assess,Fur free,Animals: minor praise,"This company has announced that they don't sell animal fur or are phasing in a fur-free policy.
[Source 2016][More on Animal Rights]"
product,Armani Jeans,Womens Fashion
product,Armani Jeans,Denim
product,Emporio Armani,Luxury Brands
product,Giorgio Armani,Luxury Brands
