Hugo Boss
orange
assess,Child labour scorecard,Social: lesser praise ,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received at least one green mark, and no red marks, indicating good performance in one or more of these areas.
[Source 2013][More on Human Rights]"
assess,FLA Accredited,Social: lesser praise ,"When joining the Fair Labor Association (FLA) this company committed to promoting and complying with international labor standards throughout their supply chain. The FLA does not accredit the company itself; rather, they accredit the company's labor compliance program. Being granted accreditation implies that their workplace standards program is substantially in compliance with the FLA Code.
[Source 2016][More on Workers Rights]"
assess,Supply chain practices in China,Environment: lesser criticism,"This company received a score of 10.5/100 (retrieved 14-Feb-2018) in the Corporate Information Transparency Index (CITI), a system for evaluating supply chain practices in China, particularly in regards to environmental management and water pollution. Scores are calculated using government compliance data, online monitoring data, and third-party environmental audits, as well as trends in the environmental performance of factories in the company's supply chains.
[Source 2018][More on Habitats]"
assess,Greenwashing,Social: lesser criticism,"Brands owned by this company are on RankaBrand's Greenwashing Alert list. These are companies that report in some way on sustainability, but the information they provide is either of marginal or no relevance and is not explicit about sustainability performance.
[Source 2014][More on Irresponsible Marketing]"
assess,42/100 in Fashion Transparency Index,Business Ethics: lesser criticism,"The 2016 Fashion Transparency Index looks at how much brands know about their supply chains, what kind of policies they have in place and importantly, how much information they share with the public about their practices and products. This company scored 42%, signifying it makes some efforts to manage and improve their supply chains but make little supply chain information publicly available. This company still has a long way to go towards supply chain transparency.
[Source 2016][More on Sustainability Reporting]"
assess,'D' rating at rankabrand.org,Business Ethics: lesser criticism,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received a 'D'.
[Source 2017][More on Sustainability Reporting]"
assess,Efforts to pay a living wage,Social: minor criticism,"This company declined to respond to a survey by the Clean Clothes Campaign for their 2014 report, 'Tailored Wage', which grades companies on their efforts to ensure workers in its supply chain receive a living wage. 
[Source 2014][More on Workers Rights]"
assess,Paper policy,Environment: minor praise,"Following a campaign by the Rainforest Action Network in 2009, this company pledged to take concrete action to clean their supply chains of rainforest paper and sever relationships with companies (like Asia Pulp and Paper) who continue to destroy high conservation and endangered forests in Indonesia and elsewhere.
[Source 2010][More on Forests]"
assess,Zero discharge of hazardous chemicals ,Environment: minor praise,"In 2011, a group of major apparel and footwear brands and retailers, including this company, made a shared commitment to help lead the industry towards zero discharge of hazardous chemicals by 2020. It includes specific commitments and timelines to realize this shared goal.
[Source 2017][More on Habitats]"
assess,Fur free,Animals: minor praise,"This company has announced that they don't sell animal fur or are phasing in a fur-free policy.
[Source 2016][More on Animal Rights]"
assess,Angora ban,Animals: minor praise,"This company has taken angora items off the shelves and promised not to use angora again, following a PETA campaign launched in Dec 2013 which revealed the cruelty inflicted on angora rabbits in Chinese factory farms, where 90% of the world's angora is produced.
[Source 2017][More on Animal Rights]"
assess,Sustainability claims,Business Ethics: minor praise,"This company has a number of sustainability claims on its website, including a publicly available Code of Conduct.
[Source 2013][More on Sustainability Reporting]"
assess,Leather Working Group member,Business Ethics: minor praise,"This company is a member of the Leather Working Group, a multi-stakeholder group who's objective is to develop and maintain a protocol that assesses the compliance and environmental performance of tanners and promotes sustainable and appropriate environmental business practices within the leather industry.
[Source 2016][More on Multi-Stakeholder Initiatives]"
assess,Link to Nazis,Social: information,"Hugo Boss manufactured uniforms for the Nazis in the 1930's and 40's, and like many manufacturers at the time, used forced labourers from occupied countries. 
[Source 2013][More on Human Rights]"
assess,45/100 in KnowTheChain Benchmark,Social: information,"In 2016 KnowTheChain benchmarked 60 large global companies in the ICT, Food & Beverage, and Apparel & Footwear sectors on their efforts to address forced labour and human trafficking in their supply chains. This company received a score of 45/100.
[Source 2016][More on Workers Rights]"
assess,Workers rights in Turkey,Social: information,"Texim, a Turkish textile factory that produces clothing for Hugo Boss and Pierre Cardin, accepted the key union demands (after four months of campaigning) for reinstatement of dismissed workers on increased wages, salary for the picketing period and compensation for workers who chose not to return.
[Source 2012][More on Workers Rights]"
product,BOSS,Womens Fashion
product,Hugo Boss,Menswear (casual)
product,Hugo Boss,Luxury Brands
