Icebreaker
red
assess,'E' rating at rankabrand.org,Business Ethics: Criticism,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received an 'E', the lowest possible score.
[Source 2017][More on Sustainability Reporting]"
assess,D- grade at Behind the Barcode,Social: lesser criticism,"D- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,Greenwashing,Social: lesser criticism,"Brands owned by this company are on RankaBrand's Greenwashing Alert list. These are companies that report in some way on sustainability, but the information they provide is either of marginal or no relevance and is not explicit about sustainability performance.
[Source 2014][More on Irresponsible Marketing]"
assess,Breaching advertising codes,Social: minor criticism,"This company has been criticised for offensive advertising. In 2012 the Advertising Standards Bureau upheld complaints about a print ad by this company on the grounds that it breached advertising codes. The ad was subsequently discontinued or modified.
[Source 2012][More on Irresponsible Marketing]"
assess,Ethics claims,Business Ethics: minor praise,"This companies makes a number of ethics claims on its website covering the areas of treatment of animals, treatment of land and treatment of workers.
[Source 2012][More on Sustainability Reporting]"
assess,Traceability programme ,Business Ethics: minor praise,"The Icebreaker Baacode traceability programme lets you trace the merino wool in your garment right back to the source. You can see the living conditions of the sheep, meet the growers who raised them, and follow the production process through to the finished garment.
[Source 2012][More on Governance]"
assess,Green Outdoor Gear profile,Information,"Cam Walker from Friends of the Earth Melbourne has created a website which profiles outdoor gear companies and rates them according to a range of sustainability criteria. Follow the link to see this company's profile.
[Source 2011]"
assess,Project JUST profile,Information,"Project JUST examines the manufacturing practices and ethics of fashion brands. Follow the link to see this company's profile.
[Source 2016]"
product,Icebreaker,Outdoor Wear
product,Icebreaker,Childrenswear
