Jeanswest
ltgreen
assess,Uzbek cotton commitment,Social: lesser praise ,"This company has signed the Cotton Pledge with the Responsible Sourcing Network, signifying a public commitment to not use Uzbekistani cotton. (Uzbekistan is the world's fifth largest exporter of cotton and has for decades been criticised for using the forced labour of its schoolchildren to harvest that cotton by hand under appalling conditions. This practice is organised and controlled by the central government).
[Source 2016][More on Human Rights]"
assess,B+ grade at Behind the Barcode,Social: lesser praise ,"B+ grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,Use of PP spray,Social: minor criticism,"Many of this company's products are produced using PP (potassium permanganate) Spray, a dangerous practice for the health and safety of workers. It is done with a spray-gun that transforms chemicals into micro-particles absorbed by people who perform this technique although precautions taken and causing them lung problems. An alternative production technique using lasers is available.
[Source 2017][More on Workers Rights]"
assess,Angora ban,Animals: minor praise,"This company has taken angora items off the shelves and promised not to use angora again, following a PETA campaign launched in Dec 2013 which revealed the cruelty inflicted on angora rabbits in Chinese factory farms, where 90% of the world's angora is produced.
[Source 2015][More on Animal Rights]"
assess,Community support,Business Ethics: minor praise,"This company supports a number of charities including Children's Medical Research Institute (since 2006) and the Red Cross.
[Source 2017][More on Finance]"
assess,Responsible sourcing claims,Business Ethics: minor praise,"This company has responsible sourcing claims on its website including a code of conduct and disclosure of the locations of some of their production factories.
[Source 2017][More on Sustainability Reporting]"
assess,Efforts to pay a living wage,Social: information,"Oxfam Australia's Company Tracker compares the big clothing brands on their efforts to pay a living wage to the women working in their factories. This company has released the names and addresses of at least 70% of their supplier factories, but has taken no action towards paying a living wage, and does not have a satisfactory grievance mechanism in place for workers to report violations of their rights.
[Source 2017][More on Workers Rights]"
assess,CSR claims,Business Ethics: minor praise,"This company has Corporate Social Responsibility claims on its website, mainly in the area of charitable donations.
[Source 2014][More on Sustainability Reporting]"
assess,Transparency,Social: information,"This 2009 report from Oxfam Hong Kong rates how well 26 Hong Kong garment companies report their labour standards in the supply chain. This company received the third highest score with 32/100.
[Source 2009][More on Workers Rights]"
product,Jeanswest,Womens Fashion
product,Jeanswest,Menswear (casual)
product,Jeanswest,Denim
