Noni B
orange
assess,Bangladesh Safety Accord signatory,Social: lesser praise ,"This company has signed the 'Accord on Fire and Building Safety in Bangladesh', a program endorsed by Bangladeshi and international unions and labor rights organizations. The ground-breaking program includes independent safety inspections with public reports, mandatory factory building renovations, the obligation by brands and retailers to underwrite the cost of repairs, and a vital role for workers and their unions  all in a legally-binding, enforceable agreement.
[Source 2014][More on Human Rights]"
assess,Efforts to pay a living wage,Social: Criticism,"Oxfam Australia's Company Tracker compares the big clothing brands on their efforts to pay a living wage to the women working in their factories. This company has not published a list of its supplier factories, has not made a public commitment to paying living wages, and does not have a satisfactory grievance mechanism in place for workers to report violations of their rights.
[Source 2017][More on Workers Rights]"
assess,C grade at Behind the Barcode,Social: information,"C grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,No tax paid in 2013/4,Business Ethics: information,"According to data released by the Australian Tax Office in Dec 2015, this company was one of 579 local and foreign-based companies that paid no tax in Australia in 2013-14. Please note however that companies pay income tax on profits, not revenue (total income). While some companies use tax havens and loopholes to avoid paying their fair share of tax in Australia, other companies that paid no tax have perfectly legitimate reasons.
[Source 2015][More on Finance]"
assess,Unconscionable conduct,Business Ethics: information,"This company was involved in a landmark court case heard in the NSW Supreme Court in 2015. Alceon agreed to lend $23 million to property development entity Quadwest, which was in desperate need of funds to pay significant creditors and ensure completion of a large residential project in Perth. One of the conditions of the loan was that the developer's elderly parents would need to give up their family home if Quadvest defaulted on the loan, which it did. The court found that this condition of the loan was ""unconscionable"", and the family home was saved.
[Source 2015][More on Finance]"
assess,About the founders,Information,"This company was founded by Phil Green and Trevor Loewensohn, two of the men behind Babcock & Brown, Australia's biggest corporate failure. This Crikey article reveals details of how Green retained a number of valuable assets and millions in cash, while the company he was running collapsed.
[Source 2014]"
product,Events,Womens Fashion
product,Liz Jordan,Womens Fashion
product,Noni B,Womens Fashion
product,Queenspark,Womens Fashion
