Richemont
red
assess,Ethical jewellery,Social: lesser praise ,"In this 2012 report on the ethical performance of ten luxury jewellery brands, Richemont subsidiary Cartier was found to be the only brand significantly active in addressing their social responsibilities.
[Source 2011][More on Human Rights]"
assess,Cotton sourcing (Rank a Brand),Social: Criticism,"In 2016 Rank a Brand assessed 37 major cotton-using companies on their commitment and performance with regard to sustainable cotton by looking at each company's cotton sourcing policies, use of sustainable cotton, and traceability. This company scored 0/19.5, making it one of the worst performing companies.
[Source 2016][More on Human Rights]"
assess,'E' rating at rankabrand.org,Business Ethics: Criticism,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received a 'E'.
[Source 2017][More on Sustainability Reporting]"
assess,Greenwashing,Social: lesser criticism,"Brands owned by this company are on RankaBrand's Greenwashing Alert list. These are companies that report in some way on sustainability, but the information they provide is either of marginal or no relevance and is not explicit about sustainability performance.
[Source 2014][More on Irresponsible Marketing]"
assess,Use of fur,Animals: lesser criticism,"This company has used fur in factory made clothing lines, and has not announced plans to stop.
[Source 2016][More on Animal Rights]"
assess,'D' grade  in WWF Deeper Luxury report,Business Ethics: minor criticism,"In 2007 WWF-UK analysed and ranked the 10 largest publicly-traded luxury brand-owners on their environmental, social and governance (ESG) performance. (Listed under information due to age of report)
[Source 2007][More on Governance]"
assess,Responsible Jewellery Council member,Business Ethics: minor praise,"This company's subsidiary, Cartier, is a certified member of the Responsible Jewellery Council (RJC).  Certification under the RJC system demonstrates that the Member's business practices conform to RJC's Code of Practices for business ethics, human rights, social and environmental performance.
[Source 2013][More on Multi-Stakeholder Initiatives]"
product,Cartier,Fragrances
product,Cartier,Luxury Brands
product,Chloe,Luxury Brands
