Rip Curl
red
assess,Australian Packaging Covenant signatory,Environment: lesser praise ,"Signatory to the Australian Packaging Covenant, a voluntary agreement to encourage waste minimisation.
[Source 2017][More on Packaging]"
assess,Workers rights in North Korea,Social: Criticism,"A 2016 Fairfax Media investigation revealed that Rip Curl has sold millions of dollars worth of clothes made in North Korea, where factory workers endure slave-like conditions, raising serious questions about Rip Curl's garment sourcing practices. The garments were sold with a ""made in China"" logo on them.
[Source 2016][More on Workers Rights]"
assess,'E' rating at rankabrand.org,Business Ethics: Criticism,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received an 'E', the lowest possible score.
[Source 2017][More on Sustainability Reporting]"
assess,Greenwashing,Social: lesser criticism,"Brands owned by this company are on RankaBrand's Greenwashing Alert list. These are companies that report in some way on sustainability, but the information they provide is either of marginal or no relevance and is not explicit about sustainability performance.
[Source 2014][More on Irresponsible Marketing]"
assess,Rip Curl Planet,Environment: minor praise,"The Rip Curl Planet was launched in 2008 in partnership with the WWF to increase Rip Curl's support of environmental projects. The main focus is the preservation of surf spots, but they also fund educational and eco-design projects. Rip Curl Planet has given over $US574,205 to environmental groups. Products with the Rip Curl Planet label are made with at least 55% eco-friendly fabrics. Green Wetsuit and Project Resurrection is a neoprene (wetsuit) recycling program.
[Source 2012][More on Environmental Claims]"
assess,C+ grade at Behind the Barcode,Social: information,"C+ grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
product,Rip Curl,Womens Fashion
product,Rip Curl,Snow/Skate/Surfwear
product,Rip Curl,Menswear (casual)
product,Rip Curl,Thongs/Sandals
