Topshop
red
assess,Workers rights,Social: lesser criticism,"Oxfam Australia's 2016 Naughty or Nice list ranks the biggest and most popular clothing brands on what they are actually doing to protect and support the women making our clothes, especially on whether brands are bold enough to bring the list of factories that make their clothes out of hiding. This company has been dubbed 'Naughty', as they have not published a list of their supplier factories.
[Source 2016][More on Workers Rights]"
assess,Underpaid contract cleaners in UK,Social: minor criticism,"Topshop uses contracted cleaners, who say their wages don't cover rent and food, and are calling for fairer pay. In 2016 the fashion chain removed document supporting living wage from its website after an inquiry by The Guardian.
[Source 2016][More on Workers Rights]"
assess,Angora ban,Animals: minor praise,"This company has taken angora items off the shelves and promised not to use angora again, following a PETA campaign launched in Dec 2013 which revealed the cruelty inflicted on angora rabbits in Chinese factory farms, where 90% of the world's angora is produced.
[Source 2017][More on Animal Rights]"
assess,ACT participant,Business Ethics: minor praise,"This company is a participant in the Action, Collaboration, Transformation (ACT) initiative, an initiative between international brands and retailers, manufacturers, and trade unions to address the issue of living wages in the textile and garment supply chain.
[Source 2016][More on Multi-Stakeholder Initiatives]"
assess,Bangladesh Safety Accord signatory,Social: lesser praise ,"This company has signed the 'Accord on Fire and Building Safety in Bangladesh', a program endorsed by Bangladeshi and international unions and labor rights organizations. The ground-breaking program includes independent safety inspections with public reports, mandatory factory building renovations, the obligation by brands and retailers to underwrite the cost of repairs, and a vital role for workers and their unions  all in a legally-binding, enforceable agreement.
[Source 2014][More on Workers Rights]"
assess,Child labour scorecard,Social: lesser criticism,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received at least one red mark, indicating poor performance in one or more of these areas.
[Source 2013][More on Human Rights]"
assess,49/100 in Fashion Transparency Index,Business Ethics: lesser criticism,"The 2016 Fashion Transparency Index looks at how much brands know about their supply chains, what kind of policies they have in place and importantly, how much information they share with the public about their practices and products. This company scored 49%, signifying it makes some efforts to manage and improve their supply chains but make little supply chain information publicly available. This company still has a long way to go towards supply chain transparency.
[Source 2016][More on Sustainability Reporting]"
assess,Sued for $5 million,Business Ethics: lesser criticism,"Pop singer Rihanna won a legal battle with this company in July 2013 over a T-shirt  image sold through the Topshop chain. She sued Arcadia in the London High Court for US$5million as her image had been used without her approval.
[Source 2013][More on Finance]"
assess,Tax avoidance,Business Ethics: lesser criticism,"Arcadia Group has been targeted by tax avoidance protesters UK Uncut. Rather than being registered as Sir Philip Green's (the public face of the brand), the company is registered under the name of his wife, Tina, who lives in 0% income tax zone Monaco. In 2005 Philip Green awarded himself 1.2bn pounds, the biggest paycheck in British corporate history.
[Source 2012][More on Finance]"
assess,Fur free,Animals: minor praise,"This company has announced that they don't sell animal fur or are phasing in a fur-free policy.
[Source 2014][More on Animal Rights]"
assess,Fashion Footprint claims,Business Ethics: minor praise,"Follow the link to see details on Ardadia Group's Fashion Footprint programme, which claims to ""monitor and manage the social and environmental impacts of our business, providing a focus and framework for our activities"". 
[Source 2017][More on Sustainability Reporting]"
assess,SCAP signatory,Business Ethics: minor praise,"This company is a signatory to WRAP's Sustainable Clothing Action Plan (SCAP). Signatories commit to a set of principles that work towards reaching the SCAP 2020 Targets to improve the sustainability of clothing across its life cycle by working collaboratively with industry, government and the third sector.
[Source 2017][More on Multi-Stakeholder Initiatives]"
assess,C+ grade at Behind the Barcode,Social: information,"C+ grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,Efforts to pay a living wage,Social: information,"This company mentions work on living wages, but their solutions are unconvincing so far, according to this 2014 report by the Clean Clothes Campaign which grades companies on their efforts to ensure workers in its supply chain receive a living wage. 
[Source 2014][More on Workers Rights]"
assess,Project JUST profile,Information,"Project JUST examines the manufacturing practices and ethics of fashion brands. Follow the link to see this company's profile.
[Source 2016]"
product,Topman,Menswear (casual)
product,Topshop,Womens Fashion
